"code_rome","code_compo_bloc","libelle_type_texte","position_phrase","libelle_texte"
"A1101","3","definition","1","Réalise des travaux mécanisés agricoles, sylvicoles ou forestiers (préparation des sols, semis, récolte, abattage d''arbres, ...) selon les objectifs de production (quantité, qualité, ...), la commande du client, les règles d''hygiène, de sécurité et la réglementation environnementale."
"A1101","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP dans le secteur agricole (production agricole, agroéquipement, ...) ou forestier (travaux forestiers, ...)."
"A1101","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le même secteur sans diplôme particulier."
"A1101","4","acces_metier","3","Un Certificat de Spécialisation Agricole -CSA- tracteurs et machines agricoles (utilisation et maintenance) peut en faciliter l''accès."
"A1101","4","acces_metier","4","Un Bac ou un BTS peut être demandé selon la technicité des engins utilisés."
"A1101","4","acces_metier","5","Les permis C, C1, CE, C1E (précédemment C et EC) peuvent être requis."
"A1201","3","definition","1","Réalise des opérations de coupe et d''entretien d''arbres (abattage, élagage, taille ...) sur sites forestiers, voies départementales, parcs et jardins, ..., selon les règles de sécurité, les normes environnementales et les impératifs de production (délais, quantités, ...)."
"A1201","3","definition","2","Peut débarder les grumes. Peut estimer la valeur de coupes."
"A1201","3","definition","3","Peut diriger une équipe ou diriger une entreprise de bûcheronnage, d''élagage, d''espaces verts."
"A1201","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en travaux forestiers et bûcheronnage. Un certificat de spécialisation ""diagnostic et taille des arbres"" peut être requis."
"A1201","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le même secteur sans diplôme particulier."
"A1201","4","acces_metier","3","Un diplôme de niveau Bac (Bac Professionnel, Brevet de Technicien Agricole, ...) en gestion et conduite de travaux forestiers peut être demandé pour les fonctions d''encadrement."
"A1202","3","definition","1","Aménage et entretient des écosystèmes (espaces naturels) afin de préserver leurs qualités biologiques selon les règles de sécurité et la réglementation environnementale."
"A1202","3","definition","2","Peut installer des équipements de préservation du littoral."
"A1202","3","definition","3","Peut coordonner une équipe."
"A1202","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP dans le domaine de l''environnement et de l''agriculture."
"A1202","4","acces_metier","2","Il est également accessible avec une expérience professionnelle sans diplôme particulier."
"A1202","4","acces_metier","3","La vaccination anti-tétanique peut être requise."
"A1202","4","acces_metier","4","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(ven)t être exigé(s)."
"A1202","4","acces_metier","5","Les permis BE, C, C1 (précédemment EB et C) peuvent être requis."
"A1203","3","definition","1","Aménage et entretient des espaces verts (parcs, jardins, terrains de sport, ...) et des décors végétaux d''intérieur ou d''extérieur (bureaux, commerces, halls d''accueil, murs végétaux, ...) selon les règles de sécurité et la réglementation environnementale."
"A1203","3","definition","2","Peut aménager des ouvrages paysagers, des ouvrages maçonnés et installer du mobilier urbain."
"A1203","3","definition","3","Peut coordonner une équipe."
"A1203","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en horticulture, travaux paysagers, ..."
"A1203","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier ou avec un diplôme d''un autre secteur."
"A1203","4","acces_metier","3","Un Bac professionnel ou un BTS Agricole en horticulture, travaux paysagers, ... peut être demandé pour les fonctions d''encadrement."
"A1203","4","acces_metier","4","Les recrutements peuvent être ouverts sur contrat de travail saisonnier, à durée déterminée ou sur vacation."
"A1203","4","acces_metier","5","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(ven)t être exigé(s)."
"A1203","4","acces_metier","6","Les permis BE, C, C1 (précédemment EB et C) peuvent être requis."
"A1204","3","definition","1","Effectue la surveillance de site (espaces naturels, protégés, ...) et veille à la sauvegarde du patrimoine naturel (réserve naturelle, forêts, littoral, ...) selon les directives institutionnelles, la réglementation environnementale (loi de protection du littoral, ...) et les règles de sécurité."
"A1204","3","definition","2","Peut sensibiliser différents publics à la protection de l''environnement, ou mettre en place la sécurisation du public."
"A1204","3","definition","3","Peut coordonner une équipe."
"A1204","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP agricole en aménagement des espaces naturels."
"A1204","4","acces_metier","2","Un Brevet de Technicien Agricole en aménagement de l''espace, gestion de la faune sauvage ou un BTS Agricole en gestion et protection de la nature peut être demandé pour les postes de technicien cynégétique."
"A1204","4","acces_metier","3","Un diplôme de niveau Bac à Bac + 2 (BTS, DUT) dans les domaines de l''eau et de la protection de l''environnement peut être demandé pour les postes de technicien de rivière."
"A1204","4","acces_metier","4","Une bonne condition physique (acuité visuelle, ...) est requise."
"A1205","3","definition","1","Met en oeuvre les opérations sylvicoles sur des parcelles forestières (dépressage, éclaircies, plantation, élagage sylvicole, ...) selon les règles d''hygiène et de sécurité, les objectifs d''exploitation (commerciaux, qualitatifs, ...) et les normes environnementales."
"A1205","3","definition","2","Peut effectuer des travaux d''aménagement de la forêt et des voies forestières."
"A1205","3","definition","3","Peut coordonner une équipe ou diriger une exploitation forestière."
"A1205","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en travaux forestiers et sylviculture."
"A1205","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le même secteur sans diplôme particulier."
"A1205","4","acces_metier","3","Un diplôme de niveau Bac (Bac Professionnel, Brevet de Technicien Agricole) à Bac+2 (BTS Agricole) en gestion et conduite de travaux forestiers peut être demandé pour les fonctions d''encadrement."
"A1205","4","acces_metier","4","Des vaccinations spécifiques (anti-rabique, ...) peuvent être requises."
"A1301","3","definition","1","Conseille et assiste techniquement les professionnels de l''agriculture, de l''aquaculture, de la sylviculture ou de l''élevage selon les orientations institutionnelles (préservation du patrimoine naturel, ...), les projets d''aménagement du territoire (dispositif de gestion de l''eau,...) ou d''implantation d''exploitation agricole et d''élevage, et la réglementation environnementale."
"A1301","3","definition","2","Peut former et sensibiliser différents publics. Peut réaliser des prélèvements d''échantillons."
"A1301","3","definition","3","Peut coordonner une équipe."
"A1301","4","acces_metier","1","Ce métier est accessible à partir d''un BTS Agricole en agriculture, génie rural, environnement, ..."
"A1301","4","acces_metier","2","Un Master (diplôme d''ingénieur, Master recherche en droit rural, école de commerce, ...) est requis pour les postes de conseillers."
"A1301","4","acces_metier","3","Son accès dans les collectivités territoriales et organismes publics s''effectue sur concours."
